# Spatial statistics process output
# Kratos version               : 9.2."2"-5dfe714-Release-x86_64
# Timestamp                    : 2023-02-16 13:19:57.431125
# Method name(s)               : variance, max, distribution
# Variable info(s)             : CFL_NUMBER[magnitude, element_non_historical]
# Modelpart name               : FluidModelPart.fluid_computational_model_part
# Output control variable name : STEP
# ----------------------------------------------------------------------
# Headers:
#"TIME" "STEP" "mean" "variance" "max_value" "max_id"                    "group_below_min {mean|variance}"                            "group_1 {mean|variance}"                    "group_above_max {mean|variance}"
  10.80    360   0.54       0.10        5.19  1.47e+06  2.72e+06 [#] =  92.72 [%] <   1.00 {   0.49 |   0.07 }  2.13e+05 [#] =   7.26 [%] <   2.50 {   1.21 |   0.05 }    377 [#] =   0.01 [%]>=   2.50 {   2.82 |   0.13 }
  11.10    370   0.54       0.11        5.18  1.47e+06  2.72e+06 [#] =  92.62 [%] <   1.00 {   0.49 |   0.07 }  2.16e+05 [#] =   7.36 [%] <   2.50 {   1.22 |   0.05 }    637 [#] =   0.02 [%]>=   2.50 {   2.90 |   0.18 }
  11.40    380   0.54       0.11        5.79     1102  2.72e+06 [#] =  92.67 [%] <   1.00 {   0.49 |   0.07 }  2.14e+05 [#] =   7.30 [%] <   2.50 {   1.22 |   0.05 }    813 [#] =   0.03 [%]>=   2.50 {   3.01 |   0.27 }
  11.70    390   0.54       0.11        6.37     1102  2.72e+06 [#] =  92.69 [%] <   1.00 {   0.48 |   0.07 }  2.14e+05 [#] =   7.28 [%] <   2.50 {   1.22 |   0.05 }    997 [#] =   0.03 [%]>=   2.50 {   3.08 |   0.36 }
  12.00    400   0.54       0.11        6.79     1102  2.72e+06 [#] =  92.81 [%] <   1.00 {   0.48 |   0.07 }  2.10e+05 [#] =   7.15 [%] <   2.50 {   1.22 |   0.05 }   1051 [#] =   0.04 [%]>=   2.50 {   3.15 |   0.46 }
  12.30    410   0.54       0.10        6.64     1102  2.73e+06 [#] =  92.98 [%] <   1.00 {   0.48 |   0.07 }  2.05e+05 [#] =   6.99 [%] <   2.50 {   1.22 |   0.05 }    995 [#] =   0.03 [%]>=   2.50 {   3.14 |   0.44 }
  12.60    420   0.54       0.10        6.56     1102  2.73e+06 [#] =  93.12 [%] <   1.00 {   0.48 |   0.07 }  2.01e+05 [#] =   6.84 [%] <   2.50 {   1.22 |   0.05 }    983 [#] =   0.03 [%]>=   2.50 {   3.13 |   0.43 }
  12.90    430   0.53       0.10        6.78     1102  2.74e+06 [#] =  93.24 [%] <   1.00 {   0.48 |   0.07 }  1.97e+05 [#] =   6.72 [%] <   2.50 {   1.22 |   0.05 }   1007 [#] =   0.03 [%]>=   2.50 {   3.16 |   0.47 }
  13.20    440   0.53       0.10        6.93     1102  2.74e+06 [#] =  93.29 [%] <   1.00 {   0.48 |   0.07 }  1.96e+05 [#] =   6.68 [%] <   2.50 {   1.22 |   0.05 }   1032 [#] =   0.04 [%]>=   2.50 {   3.19 |   0.50 }
  13.50    450   0.53       0.10        7.13     1102  2.74e+06 [#] =  93.32 [%] <   1.00 {   0.48 |   0.07 }  1.95e+05 [#] =   6.64 [%] <   2.50 {   1.22 |   0.05 }   1118 [#] =   0.04 [%]>=   2.50 {   3.21 |   0.52 }
  13.80    460   0.53       0.10        7.53     1102  2.74e+06 [#] =  93.38 [%] <   1.00 {   0.48 |   0.07 }  1.93e+05 [#] =   6.58 [%] <   2.50 {   1.22 |   0.05 }   1251 [#] =   0.04 [%]>=   2.50 {   3.26 |   0.58 }
  14.10    470   0.53       0.10        7.16     1102  2.74e+06 [#] =  93.52 [%] <   1.00 {   0.48 |   0.07 }  1.89e+05 [#] =   6.44 [%] <   2.50 {   1.22 |   0.05 }   1153 [#] =   0.04 [%]>=   2.50 {   3.24 |   0.56 }
  14.40    480   0.52       0.10        5.73     1102  2.75e+06 [#] =  93.72 [%] <   1.00 {   0.48 |   0.07 }  1.84e+05 [#] =   6.26 [%] <   2.50 {   1.22 |   0.05 }    781 [#] =   0.03 [%]>=   2.50 {   3.04 |   0.30 }
  14.70    490   0.52       0.10        5.57  1.57e+06  2.76e+06 [#] =  93.89 [%] <   1.00 {   0.48 |   0.07 }  1.79e+05 [#] =   6.09 [%] <   2.50 {   1.22 |   0.05 }    562 [#] =   0.02 [%]>=   2.50 {   2.90 |   0.19 }
  15.00    500   0.52       0.10        5.73  1.57e+06  2.76e+06 [#] =  93.99 [%] <   1.00 {   0.48 |   0.06 }  1.76e+05 [#] =   6.00 [%] <   2.50 {   1.22 |   0.05 }    476 [#] =   0.02 [%]>=   2.50 {   2.89 |   0.18 }
  15.30    510   0.52       0.10        6.01  1.57e+06  2.76e+06 [#] =  94.03 [%] <   1.00 {   0.47 |   0.06 }  1.75e+05 [#] =   5.95 [%] <   2.50 {   1.21 |   0.05 }    489 [#] =   0.02 [%]>=   2.50 {   2.93 |   0.21 }
  15.60    520   0.52       0.10        6.38  1.57e+06  2.76e+06 [#] =  94.03 [%] <   1.00 {   0.47 |   0.06 }  1.75e+05 [#] =   5.95 [%] <   2.50 {   1.22 |   0.05 }    620 [#] =   0.02 [%]>=   2.50 {   3.05 |   0.30 }
  15.90    530   0.52       0.10        6.55  1.57e+06  2.76e+06 [#] =  94.00 [%] <   1.00 {   0.47 |   0.06 }  1.75e+05 [#] =   5.98 [%] <   2.50 {   1.22 |   0.05 }    716 [#] =   0.02 [%]>=   2.50 {   3.10 |   0.37 }
  16.20    540   0.51       0.10        6.21  1.57e+06  2.76e+06 [#] =  93.98 [%] <   1.00 {   0.47 |   0.06 }  1.76e+05 [#] =   6.00 [%] <   2.50 {   1.22 |   0.05 }    607 [#] =   0.02 [%]>=   2.50 {   2.95 |   0.23 }
  16.50    550   0.51       0.10        5.93  1.57e+06  2.76e+06 [#] =  94.03 [%] <   1.00 {   0.47 |   0.07 }  1.75e+05 [#] =   5.95 [%] <   2.50 {   1.22 |   0.05 }    454 [#] =   0.02 [%]>=   2.50 {   2.87 |   0.17 }
  16.80    560   0.51       0.10        5.61  1.57e+06  2.76e+06 [#] =  94.19 [%] <   1.00 {   0.46 |   0.06 }  1.70e+05 [#] =   5.80 [%] <   2.50 {   1.22 |   0.05 }    349 [#] =   0.01 [%]>=   2.50 {   2.85 |   0.15 }
  17.10    570   0.50       0.09        4.68     1102  2.77e+06 [#] =  94.39 [%] <   1.00 {   0.46 |   0.06 }  1.64e+05 [#] =   5.60 [%] <   2.50 {   1.21 |   0.05 }    383 [#] =   0.01 [%]>=   2.50 {   2.86 |   0.16 }
  17.40    580   0.50       0.09        5.03     1102  2.78e+06 [#] =  94.56 [%] <   1.00 {   0.46 |   0.06 }  1.59e+05 [#] =   5.42 [%] <   2.50 {   1.21 |   0.04 }    443 [#] =   0.02 [%]>=   2.50 {   2.95 |   0.20 }
  17.70    590   0.50       0.09        5.41  1.57e+06  2.78e+06 [#] =  94.73 [%] <   1.00 {   0.46 |   0.06 }  1.54e+05 [#] =   5.26 [%] <   2.50 {   1.21 |   0.04 }    279 [#] =   0.01 [%]>=   2.50 {   2.83 |   0.13 }
  18.00    600   0.50       0.09        5.17  1.57e+06  2.78e+06 [#] =  94.84 [%] <   1.00 {   0.46 |   0.06 }  1.51e+05 [#] =   5.15 [%] <   2.50 {   1.21 |   0.04 }    279 [#] =   0.01 [%]>=   2.50 {   2.83 |   0.14 }
  18.30    610   0.49       0.09        4.41  1.45e+06  2.79e+06 [#] =  94.96 [%] <   1.00 {   0.46 |   0.06 }  1.48e+05 [#] =   5.03 [%] <   2.50 {   1.21 |   0.04 }    287 [#] =   0.01 [%]>=   2.50 {   2.81 |   0.11 }
  18.60    620   0.49       0.09        5.05  1.57e+06  2.79e+06 [#] =  95.03 [%] <   1.00 {   0.45 |   0.06 }  1.46e+05 [#] =   4.97 [%] <   2.50 {   1.21 |   0.04 }    192 [#] =   0.01 [%]>=   2.50 {   2.77 |   0.12 }
  18.90    630   0.49       0.09        4.96  1.57e+06  2.79e+06 [#] =  95.10 [%] <   1.00 {   0.45 |   0.06 }  1.44e+05 [#] =   4.89 [%] <   2.50 {   1.21 |   0.04 }    250 [#] =   0.01 [%]>=   2.50 {   2.85 |   0.15 }
  19.20    640   0.49       0.09        5.55     1102  2.79e+06 [#] =  95.17 [%] <   1.00 {   0.45 |   0.06 }  1.41e+05 [#] =   4.82 [%] <   2.50 {   1.21 |   0.04 }    540 [#] =   0.02 [%]>=   2.50 {   2.99 |   0.24 }
  19.50    650   0.49       0.09        5.61     1102  2.79e+06 [#] =  95.21 [%] <   1.00 {   0.45 |   0.06 }  1.40e+05 [#] =   4.77 [%] <   2.50 {   1.21 |   0.04 }    514 [#] =   0.02 [%]>=   2.50 {   3.11 |   0.32 }
  19.80    660   0.49       0.09        4.64     1102  2.80e+06 [#] =  95.26 [%] <   1.00 {   0.45 |   0.06 }  1.39e+05 [#] =   4.73 [%] <   2.50 {   1.20 |   0.04 }    370 [#] =   0.01 [%]>=   2.50 {   2.92 |   0.17 }
