# Spatial statistics process output
# Kratos version               : 9.2."2"-5dfe714-Release-x86_64
# Timestamp                    : 2023-02-16 13:19:57.431125
# Method name(s)               : variance, max, distribution
# Variable info(s)             : CFL_NUMBER[magnitude, element_non_historical]
# Modelpart name               : FluidModelPart.fluid_computational_model_part
# Output control variable name : STEP
# ----------------------------------------------------------------------
# Headers:
#"TIME" "STEP" "mean" "variance" "max_value" "max_id"                    "group_below_min {mean|variance}"                            "group_1 {mean|variance}"                    "group_above_max {mean|variance}"
  1.26e+02   4200   0.32       0.05        3.29  1.45e+06  2.92e+06 [#] =  99.35 [%] <   1.00 {   0.31 |   0.04 }  19042 [#] =   0.65 [%] <   2.50 {   1.15 |   0.02 }      5 [#] =   0.00 [%]>=   2.50 {   2.90 |   0.10 }
  1.26e+02   4210   0.32       0.05        3.27  1.45e+06  2.92e+06 [#] =  99.34 [%] <   1.00 {   0.31 |   0.05 }  19272 [#] =   0.66 [%] <   2.50 {   1.15 |   0.02 }      5 [#] =   0.00 [%]>=   2.50 {   2.91 |   0.09 }
  1.27e+02   4220   0.32       0.05        3.23  1.45e+06  2.92e+06 [#] =  99.34 [%] <   1.00 {   0.31 |   0.05 }  19344 [#] =   0.66 [%] <   2.50 {   1.15 |   0.02 }      6 [#] =   0.00 [%]>=   2.50 {   2.85 |   0.07 }
  1.27e+02   4230   0.32       0.05        3.21  1.45e+06  2.92e+06 [#] =  99.34 [%] <   1.00 {   0.31 |   0.05 }  19372 [#] =   0.66 [%] <   2.50 {   1.15 |   0.02 }      8 [#] =   0.00 [%]>=   2.50 {   2.84 |   0.05 }
  1.27e+02   4240   0.32       0.05        3.28  1.57e+06  2.92e+06 [#] =  99.34 [%] <   1.00 {   0.31 |   0.05 }  19480 [#] =   0.66 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.84 |   0.08 }
  1.28e+02   4250   0.32       0.05        3.60  1.57e+06  2.92e+06 [#] =  99.33 [%] <   1.00 {   0.32 |   0.05 }  19595 [#] =   0.67 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.90 |   0.11 }
  1.28e+02   4260   0.32       0.05        3.75  1.57e+06  2.91e+06 [#] =  99.33 [%] <   1.00 {   0.32 |   0.05 }  19760 [#] =   0.67 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.99 |   0.14 }
  1.28e+02   4270   0.32       0.05        3.80  1.57e+06  2.91e+06 [#] =  99.32 [%] <   1.00 {   0.32 |   0.05 }  19805 [#] =   0.67 [%] <   2.50 {   1.15 |   0.02 }      7 [#] =   0.00 [%]>=   2.50 {   3.01 |   0.17 }
  1.28e+02   4280   0.32       0.05        3.28  1.57e+06  2.91e+06 [#] =  99.32 [%] <   1.00 {   0.32 |   0.05 }  19841 [#] =   0.68 [%] <   2.50 {   1.15 |   0.02 }      8 [#] =   0.00 [%]>=   2.50 {   2.83 |   0.11 }
  1.29e+02   4290   0.32       0.05        3.59  1.57e+06  2.91e+06 [#] =  99.32 [%] <   1.00 {   0.32 |   0.05 }  19810 [#] =   0.68 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.82 |   0.15 }
  1.29e+02   4300   0.32       0.05        3.87  1.57e+06  2.91e+06 [#] =  99.33 [%] <   1.00 {   0.32 |   0.05 }  19753 [#] =   0.67 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.87 |   0.19 }
  1.29e+02   4310   0.32       0.05        4.02  1.57e+06  2.91e+06 [#] =  99.33 [%] <   1.00 {   0.32 |   0.05 }  19784 [#] =   0.67 [%] <   2.50 {   1.15 |   0.02 }      8 [#] =   0.00 [%]>=   2.50 {   2.96 |   0.22 }
  1.30e+02   4320   0.32       0.05        4.56  1.57e+06  2.91e+06 [#] =  99.32 [%] <   1.00 {   0.32 |   0.05 }  20009 [#] =   0.68 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   3.00 |   0.32 }
  1.30e+02   4330   0.32       0.05        4.77  1.57e+06  2.91e+06 [#] =  99.31 [%] <   1.00 {   0.32 |   0.05 }  20277 [#] =   0.69 [%] <   2.50 {   1.15 |   0.02 }     11 [#] =   0.00 [%]>=   2.50 {   3.01 |   0.37 }
  1.30e+02   4340   0.32       0.05        4.05  1.57e+06  2.91e+06 [#] =  99.30 [%] <   1.00 {   0.32 |   0.05 }  20481 [#] =   0.70 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.96 |   0.21 }
  1.31e+02   4350   0.32       0.05        3.47  1.57e+06  2.91e+06 [#] =  99.30 [%] <   1.00 {   0.32 |   0.05 }  20587 [#] =   0.70 [%] <   2.50 {   1.15 |   0.03 }      8 [#] =   0.00 [%]>=   2.50 {   2.94 |   0.12 }
  1.31e+02   4360   0.32       0.05        3.80  1.57e+06  2.91e+06 [#] =  99.30 [%] <   1.00 {   0.32 |   0.05 }  20651 [#] =   0.70 [%] <   2.50 {   1.15 |   0.03 }      7 [#] =   0.00 [%]>=   2.50 {   2.98 |   0.20 }
  1.31e+02   4370   0.32       0.05        4.11  1.57e+06  2.91e+06 [#] =  99.30 [%] <   1.00 {   0.32 |   0.05 }  20549 [#] =   0.70 [%] <   2.50 {   1.15 |   0.02 }      7 [#] =   0.00 [%]>=   2.50 {   3.02 |   0.29 }
  1.31e+02   4380   0.32       0.05        4.37  1.57e+06  2.91e+06 [#] =  99.30 [%] <   1.00 {   0.32 |   0.05 }  20516 [#] =   0.70 [%] <   2.50 {   1.15 |   0.02 }      8 [#] =   0.00 [%]>=   2.50 {   3.04 |   0.33 }
  1.32e+02   4390   0.32       0.05        4.59  1.57e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.32 |   0.05 }  20680 [#] =   0.70 [%] <   2.50 {   1.15 |   0.02 }     11 [#] =   0.00 [%]>=   2.50 {   2.99 |   0.33 }
  1.32e+02   4400   0.32       0.05        4.35  1.57e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.32 |   0.05 }  20897 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   3.05 |   0.25 }
  1.32e+02   4410   0.32       0.05        3.72  1.57e+06  2.91e+06 [#] =  99.28 [%] <   1.00 {   0.32 |   0.05 }  21155 [#] =   0.72 [%] <   2.50 {   1.15 |   0.02 }     11 [#] =   0.00 [%]>=   2.50 {   2.91 |   0.15 }
  1.33e+02   4420   0.32       0.05        3.37  1.45e+06  2.91e+06 [#] =  99.27 [%] <   1.00 {   0.32 |   0.05 }  21302 [#] =   0.73 [%] <   2.50 {   1.15 |   0.03 }      8 [#] =   0.00 [%]>=   2.50 {   2.86 |   0.11 }
  1.33e+02   4430   0.33       0.05        3.37  1.45e+06  2.91e+06 [#] =  99.28 [%] <   1.00 {   0.32 |   0.05 }  21225 [#] =   0.72 [%] <   2.50 {   1.15 |   0.03 }      6 [#] =   0.00 [%]>=   2.50 {   2.97 |   0.12 }
  1.33e+02   4440   0.33       0.05        3.41  1.57e+06  2.91e+06 [#] =  99.28 [%] <   1.00 {   0.32 |   0.05 }  21201 [#] =   0.72 [%] <   2.50 {   1.15 |   0.02 }      8 [#] =   0.00 [%]>=   2.50 {   2.91 |   0.14 }
  1.34e+02   4450   0.32       0.05        3.47  1.57e+06  2.91e+06 [#] =  99.28 [%] <   1.00 {   0.32 |   0.05 }  21034 [#] =   0.72 [%] <   2.50 {   1.15 |   0.02 }      8 [#] =   0.00 [%]>=   2.50 {   2.97 |   0.12 }
  1.34e+02   4460   0.32       0.05        3.39  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.32 |   0.05 }  20908 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.92 |   0.10 }
  1.34e+02   4470   0.32       0.05        3.42  1.45e+06  2.91e+06 [#] =  99.30 [%] <   1.00 {   0.32 |   0.05 }  20663 [#] =   0.70 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.94 |   0.09 }
  1.34e+02   4480   0.32       0.05        3.44  1.45e+06  2.91e+06 [#] =  99.30 [%] <   1.00 {   0.32 |   0.05 }  20534 [#] =   0.70 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.94 |   0.10 }
  1.35e+02   4490   0.33       0.05        3.45  1.45e+06  2.91e+06 [#] =  99.30 [%] <   1.00 {   0.32 |   0.05 }  20574 [#] =   0.70 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.93 |   0.09 }
  1.35e+02   4500   0.33       0.05        3.44  1.45e+06  2.91e+06 [#] =  99.30 [%] <   1.00 {   0.32 |   0.05 }  20622 [#] =   0.70 [%] <   2.50 {   1.15 |   0.02 }     11 [#] =   0.00 [%]>=   2.50 {   2.82 |   0.10 }
  1.35e+02   4510   0.33       0.05        3.42  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.32 |   0.05 }  20812 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }     11 [#] =   0.00 [%]>=   2.50 {   2.81 |   0.09 }
  1.36e+02   4520   0.33       0.05        3.42  1.45e+06  2.91e+06 [#] =  99.28 [%] <   1.00 {   0.32 |   0.05 }  21034 [#] =   0.72 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.83 |   0.09 }
  1.36e+02   4530   0.33       0.05        3.43  1.45e+06  2.91e+06 [#] =  99.28 [%] <   1.00 {   0.32 |   0.05 }  21257 [#] =   0.72 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.88 |   0.09 }
  1.36e+02   4540   0.33       0.05        3.44  1.45e+06  2.91e+06 [#] =  99.27 [%] <   1.00 {   0.32 |   0.05 }  21403 [#] =   0.73 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.88 |   0.10 }
  1.37e+02   4550   0.33       0.05        3.45  1.45e+06  2.91e+06 [#] =  99.27 [%] <   1.00 {   0.32 |   0.05 }  21499 [#] =   0.73 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.88 |   0.10 }
  1.37e+02   4560   0.33       0.05        3.45  1.45e+06  2.91e+06 [#] =  99.27 [%] <   1.00 {   0.32 |   0.05 }  21399 [#] =   0.73 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.89 |   0.10 }
  1.37e+02   4570   0.33       0.05        3.44  1.45e+06  2.91e+06 [#] =  99.27 [%] <   1.00 {   0.32 |   0.05 }  21337 [#] =   0.73 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.90 |   0.10 }
  1.37e+02   4580   0.32       0.05        3.42  1.45e+06  2.91e+06 [#] =  99.27 [%] <   1.00 {   0.32 |   0.05 }  21335 [#] =   0.73 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.88 |   0.11 }
  1.38e+02   4590   0.32       0.05        3.41  1.45e+06  2.91e+06 [#] =  99.27 [%] <   1.00 {   0.32 |   0.05 }  21376 [#] =   0.73 [%] <   2.50 {   1.15 |   0.02 }     12 [#] =   0.00 [%]>=   2.50 {   2.83 |   0.09 }
  1.38e+02   4600   0.32       0.05        3.41  1.45e+06  2.91e+06 [#] =  99.27 [%] <   1.00 {   0.32 |   0.05 }  21268 [#] =   0.72 [%] <   2.50 {   1.15 |   0.03 }     14 [#] =   0.00 [%]>=   2.50 {   2.79 |   0.08 }
  1.38e+02   4610   0.32       0.05        3.41  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.32 |   0.05 }  20858 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.89 |   0.11 }
  1.39e+02   4620   0.32       0.05        3.42  1.45e+06  2.91e+06 [#] =  99.30 [%] <   1.00 {   0.32 |   0.05 }  20677 [#] =   0.70 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.85 |   0.10 }
  1.39e+02   4630   0.32       0.05        3.41  1.45e+06  2.91e+06 [#] =  99.30 [%] <   1.00 {   0.32 |   0.05 }  20661 [#] =   0.70 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.82 |   0.09 }
  1.39e+02   4640   0.32       0.05        3.41  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.32 |   0.05 }  20794 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.88 |   0.09 }
  1.40e+02   4650   0.32       0.05        3.40  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.32 |   0.05 }  20874 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.92 |   0.09 }
  1.40e+02   4660   0.32       0.05        3.40  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.32 |   0.05 }  20930 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }     13 [#] =   0.00 [%]>=   2.50 {   2.82 |   0.10 }
  1.40e+02   4670   0.32       0.05        3.40  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.32 |   0.05 }  20909 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }     13 [#] =   0.00 [%]>=   2.50 {   2.81 |   0.09 }
  1.40e+02   4680   0.32       0.05        3.39  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.32 |   0.05 }  20882 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.83 |   0.09 }
  1.41e+02   4690   0.32       0.05        3.38  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.32 |   0.05 }  20698 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.83 |   0.09 }
  1.41e+02   4700   0.32       0.05        3.36  1.45e+06  2.91e+06 [#] =  99.30 [%] <   1.00 {   0.32 |   0.05 }  20604 [#] =   0.70 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.84 |   0.08 }
  1.41e+02   4710   0.32       0.05        3.34  1.45e+06  2.91e+06 [#] =  99.30 [%] <   1.00 {   0.31 |   0.05 }  20548 [#] =   0.70 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.86 |   0.08 }
  1.42e+02   4720   0.32       0.05        3.32  1.45e+06  2.91e+06 [#] =  99.30 [%] <   1.00 {   0.31 |   0.05 }  20599 [#] =   0.70 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.89 |   0.08 }
  1.42e+02   4730   0.32       0.05        3.31  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20711 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.91 |   0.09 }
  1.42e+02   4740   0.32       0.05        3.32  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20836 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }     11 [#] =   0.00 [%]>=   2.50 {   2.84 |   0.10 }
  1.43e+02   4750   0.32       0.05        3.33  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20900 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }     14 [#] =   0.00 [%]>=   2.50 {   2.80 |   0.08 }
  1.43e+02   4760   0.32       0.05        3.34  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20963 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }     13 [#] =   0.00 [%]>=   2.50 {   2.81 |   0.08 }
  1.43e+02   4770   0.32       0.05        3.35  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20966 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }     12 [#] =   0.00 [%]>=   2.50 {   2.82 |   0.08 }
  1.43e+02   4780   0.32       0.05        3.36  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20906 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.88 |   0.08 }
  1.44e+02   4790   0.32       0.05        3.36  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20872 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.88 |   0.08 }
  1.44e+02   4800   0.32       0.05        3.36  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20777 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.87 |   0.09 }
  1.44e+02   4810   0.32       0.05        3.36  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20695 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.89 |   0.10 }
  1.45e+02   4820   0.32       0.05        3.37  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20723 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.89 |   0.11 }
  1.45e+02   4830   0.32       0.05        3.38  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20864 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.87 |   0.11 }
  1.45e+02   4840   0.32       0.05        3.38  1.45e+06  2.91e+06 [#] =  99.28 [%] <   1.00 {   0.31 |   0.05 }  21113 [#] =   0.72 [%] <   2.50 {   1.15 |   0.02 }     11 [#] =   0.00 [%]>=   2.50 {   2.86 |   0.11 }
  1.46e+02   4850   0.32       0.05        3.38  1.45e+06  2.91e+06 [#] =  99.28 [%] <   1.00 {   0.31 |   0.05 }  21243 [#] =   0.72 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.91 |   0.10 }
  1.46e+02   4860   0.32       0.05        3.38  1.45e+06  2.91e+06 [#] =  99.28 [%] <   1.00 {   0.31 |   0.05 }  21160 [#] =   0.72 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.90 |   0.09 }
  1.46e+02   4870   0.32       0.05        3.37  1.45e+06  2.91e+06 [#] =  99.28 [%] <   1.00 {   0.31 |   0.05 }  21054 [#] =   0.72 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.86 |   0.09 }
  1.46e+02   4880   0.32       0.05        3.37  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20899 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.82 |   0.09 }
  1.47e+02   4890   0.32       0.05        3.37  1.45e+06  2.91e+06 [#] =  99.28 [%] <   1.00 {   0.31 |   0.05 }  21045 [#] =   0.72 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.81 |   0.09 }
  1.47e+02   4900   0.32       0.05        3.37  1.45e+06  2.91e+06 [#] =  99.28 [%] <   1.00 {   0.31 |   0.05 }  21212 [#] =   0.72 [%] <   2.50 {   1.15 |   0.02 }     12 [#] =   0.00 [%]>=   2.50 {   2.78 |   0.08 }
  1.47e+02   4910   0.32       0.05        3.38  1.45e+06  2.91e+06 [#] =  99.27 [%] <   1.00 {   0.31 |   0.05 }  21354 [#] =   0.73 [%] <   2.50 {   1.15 |   0.02 }     14 [#] =   0.00 [%]>=   2.50 {   2.78 |   0.08 }
  1.48e+02   4920   0.32       0.05        3.38  1.45e+06  2.91e+06 [#] =  99.27 [%] <   1.00 {   0.31 |   0.05 }  21518 [#] =   0.73 [%] <   2.50 {   1.15 |   0.02 }     13 [#] =   0.00 [%]>=   2.50 {   2.83 |   0.11 }
  1.48e+02   4930   0.32       0.05        3.51  1.45e+06  2.91e+06 [#] =  99.27 [%] <   1.00 {   0.31 |   0.05 }  21542 [#] =   0.73 [%] <   2.50 {   1.15 |   0.02 }     11 [#] =   0.00 [%]>=   2.50 {   2.90 |   0.13 }
  1.48e+02   4940   0.32       0.05        3.41  1.45e+06  2.91e+06 [#] =  99.27 [%] <   1.00 {   0.31 |   0.05 }  21282 [#] =   0.73 [%] <   2.50 {   1.15 |   0.03 }      9 [#] =   0.00 [%]>=   2.50 {   2.97 |   0.11 }
  1.49e+02   4950   0.32       0.05        3.41  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20920 [#] =   0.71 [%] <   2.50 {   1.15 |   0.03 }      9 [#] =   0.00 [%]>=   2.50 {   2.90 |   0.09 }
  1.49e+02   4960   0.32       0.05        3.41  1.45e+06  2.91e+06 [#] =  99.30 [%] <   1.00 {   0.31 |   0.05 }  20529 [#] =   0.70 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.86 |   0.10 }
  1.49e+02   4970   0.32       0.05        3.42  1.45e+06  2.91e+06 [#] =  99.31 [%] <   1.00 {   0.31 |   0.05 }  20249 [#] =   0.69 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.86 |   0.10 }
  1.49e+02   4980   0.32       0.05        3.42  1.45e+06  2.91e+06 [#] =  99.31 [%] <   1.00 {   0.31 |   0.05 }  20146 [#] =   0.69 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.84 |   0.10 }
  1.50e+02   4990   0.32       0.05        3.43  1.45e+06  2.91e+06 [#] =  99.31 [%] <   1.00 {   0.31 |   0.05 }  20193 [#] =   0.69 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.87 |   0.10 }
  1.50e+02   5000   0.32       0.05        3.42  1.45e+06  2.91e+06 [#] =  99.31 [%] <   1.00 {   0.31 |   0.05 }  20340 [#] =   0.69 [%] <   2.50 {   1.15 |   0.02 }     10 [#] =   0.00 [%]>=   2.50 {   2.87 |   0.10 }
  1.50e+02   5010   0.32       0.05        3.41  1.45e+06  2.91e+06 [#] =  99.30 [%] <   1.00 {   0.31 |   0.05 }  20599 [#] =   0.70 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.88 |   0.09 }
  1.51e+02   5020   0.32       0.05        3.40  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20788 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.85 |   0.09 }
  1.51e+02   5030   0.32       0.05        3.40  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20956 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.84 |   0.10 }
  1.51e+02   5040   0.32       0.05        3.43  1.45e+06  2.91e+06 [#] =  99.28 [%] <   1.00 {   0.31 |   0.05 }  21101 [#] =   0.72 [%] <   2.50 {   1.15 |   0.03 }     11 [#] =   0.00 [%]>=   2.50 {   2.79 |   0.10 }
  1.52e+02   5050   0.32       0.05        3.46  1.45e+06  2.91e+06 [#] =  99.28 [%] <   1.00 {   0.31 |   0.05 }  21069 [#] =   0.72 [%] <   2.50 {   1.15 |   0.02 }     12 [#] =   0.00 [%]>=   2.50 {   2.79 |   0.10 }
  1.52e+02   5060   0.32       0.05        3.50  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20900 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.88 |   0.12 }
  1.52e+02   5070   0.32       0.05        3.51  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20793 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.90 |   0.12 }
  1.52e+02   5080   0.32       0.05        3.49  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20751 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.90 |   0.11 }
  1.53e+02   5090   0.32       0.05        3.41  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20693 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.88 |   0.09 }
  1.53e+02   5100   0.32       0.05        3.31  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20736 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.83 |   0.07 }
  1.53e+02   5110   0.32       0.05        3.24  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20755 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }      8 [#] =   0.00 [%]>=   2.50 {   2.83 |   0.06 }
  1.54e+02   5120   0.32       0.05        3.25  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20764 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }      8 [#] =   0.00 [%]>=   2.50 {   2.82 |   0.07 }
  1.54e+02   5130   0.32       0.05        3.30  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20836 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }      8 [#] =   0.00 [%]>=   2.50 {   2.82 |   0.08 }
  1.54e+02   5140   0.32       0.05        3.37  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20932 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.80 |   0.10 }
  1.55e+02   5150   0.32       0.05        3.44  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20907 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.83 |   0.11 }
  1.55e+02   5160   0.32       0.05        3.47  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20823 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.87 |   0.11 }
  1.55e+02   5170   0.32       0.05        3.43  1.45e+06  2.91e+06 [#] =  99.29 [%] <   1.00 {   0.31 |   0.05 }  20731 [#] =   0.71 [%] <   2.50 {   1.15 |   0.02 }      9 [#] =   0.00 [%]>=   2.50 {   2.89 |   0.10 }
