# Level force for level 45
# start: 0.0, 0.0, 206.0183537037037
# center: 0.0, 0.0, 208.33316666666667
# end: 0.0, 0.0, 210.64797962962962
# as part of FluidModelPart.Drag_structure
# Time Fx Fy Fz Mx My Mz Fx' Fy' Fz' Mx' My' Mz'
1.9500000000000015 13612.35218072 127420.03514786 -146.69969228 48221.15254796 66232.51957310 1387310.17042855 99724.95744696 80474.18437719 -146.69969228 80930.96768850 12735.95976192 1387310.17042855
1.9800000000000015 8017.44643649 136315.99323600 -157.64458777 52334.77504295 69250.48696484 1484100.81486887 102059.15394440 90720.77245832 -157.64458777 85973.76325805 11961.21460857 1484100.81486887
2.0100000000000016 2467.75794156 144393.74794407 -169.41116201 56132.68835673 71951.42780727 1571977.80834947 103846.76670700 100356.82995739 -169.41116201 90569.14710186 11185.53793530 1571977.80834947
2.0400000000000014 -2438.80641020 150911.10141208 -181.40255769 59247.95667485 74110.72345423 1642848.16932307 104985.76661416 108434.75971546 -181.40255769 94298.82704936 10509.56317689 1642848.16932307
2.070000000000001 -6205.61018062 155312.77495080 -193.03894296 61397.44452795 75564.77374866 1690653.66887257 105434.68733249 114210.74541273 -193.03894296 96846.91330975 10017.81456327 1690653.66887257
2.100000000000001 -8489.13022329 157275.95600633 -203.81460548 62407.01963129 76222.64888819 1711868.21951719 105208.17346241 117213.61655694 -203.81460548 98025.97868377 9769.12513391 1711868.21951719
2.130000000000001 -9129.21129466 156731.19927477 -213.33667230 62224.50061002 76071.11283062 1705726.08623020 104370.36661735 117281.02104403 -213.33667230 97789.76607223 9791.03339765 1705726.08623020
2.1600000000000006 -8155.23482126 153857.36322340 -221.35323653 60919.39702138 75172.69568661 1674169.07876234 103026.96302647 114560.20671503 -221.35323653 96231.64161969 10078.60414046 1674169.07876234
2.1900000000000004 -5767.77524706 149052.35262446 -227.76624243 58669.82075565 73657.53359115 1621529.08610644 101317.49630301 109474.36228212 -227.76624243 93569.56959510 10597.91338046 1621529.08610644
2.22 -2300.70943371 142883.55346220 -232.63150555 55738.66384701 71709.66861110 1553988.84131305 99407.08233103 102660.77681527 -232.63150555 90119.58013205 11293.20577105 1553988.84131305
2.25 1829.14146299 136023.75266184 -236.15030540 52442.12435474 69548.57539053 1478884.44784899 97476.71624185 94889.91957740 -236.15030540 86260.45103157 12096.08752945 1478884.44784899
2.28 6176.76441905 129179.74314645 -238.65123514 49114.54601798 67407.73948081 1403926.95444867 95711.50437730 86976.24036429 -238.65123514 82393.69823556 12935.24114712 1403926.95444867
2.3099999999999996 10319.93381215 123021.07842020 -240.56551544 46073.60092520 65511.89614688 1336424.97760534 94286.33395977 79691.74359984 -240.56551544 78902.86166174 13744.95036595 1336424.97760534
2.3399999999999994 13900.41151494 118116.14879046 -242.39066684 43589.51267254 64055.15697792 1282586.18827012 93349.80502087 73691.65453388 -242.39066684 76116.27586843 14471.39586969 1282586.18827012
2.369999999999999 16651.63505800 114881.51771058 -244.64791168 41861.24485237 63182.14506748 1246963.33569805 93007.98427351 69459.01613880 -244.64791168 74276.89333115 15076.15312311 1246963.33569805
2.399999999999999 18412.37061071 113548.92759977 -247.83044121 41001.49612709 62974.34282761 1232092.21226894 93310.72881881 67271.70458571 -247.83044121 73522.02080443 15537.14890391 1232092.21226894
2.429999999999999 19127.28534485 114152.12051134 -252.35391380 41031.31329572 63443.01454509 1238346.97112348 94242.77167342 67192.70532736 -252.35391380 73874.50567614 15847.46593136 1238346.97112348
2.4599999999999986 18837.94501403 116533.84947768 -258.50985777 41884.00397301 64529.79415951 1264015.10455865 95722.31386648 69081.43654041 -258.50985777 75245.91827132 16012.99180620 1264015.10455865
2.4899999999999984 17666.82395050 120371.12627817 -266.42909807 43417.19384451 66114.70472645 1305572.81186768 97607.57066778 72622.90863293 -266.42909807 77450.74823577 16049.56386068 1305572.81186768
2.5199999999999982 15797.90679434 125215.30774356 -276.06150126 45431.20856750 68030.58376750 1358122.89614080 99711.40023666 77369.78619100 -276.06150126 80229.60276566 15980.17145450 1358122.89614080
2.549999999999998 13456.30289687 130542.39454029 -287.17707242 47691.66414141 70082.47233539 1415944.11270357 101822.45543985 82792.36938369 -287.17707242 83278.89055113 15832.69231021 1415944.11270357
2.579999999999998 10888.16971751 135808.07667893 -299.39074316 49953.72700042 72069.33396788 1473092.90534539 103729.91060153 88331.71331761 -299.39074316 86283.33387183 15638.09565675 1473092.90534539
2.6099999999999977 8341.93176980 140501.99068808 -312.20722147 51985.81648150 73805.74489862 1523996.47753297 105248.54690837 93451.27386313 -312.20722147 88948.06606793 15429.01934875 1523996.47753297
2.6399999999999975 6051.03305944 144195.95109707 -325.08067230 53590.70764361 75140.99189434 1563979.92356413 106240.66134989 97683.20833087 -325.08067230 91027.05769695 15238.35213018 1563979.92356413
