# Body fitted drag for model part FluidModelPart.Drag_structure
# Time Fx Fy Fz
63.39000000000164 9926820.69721085 -333223.48110581 447490.90395772
63.42000000000164 9930204.88304178 -331343.47078503 445805.69994494
63.450000000001644 9933438.01173748 -329503.15940699 444097.10882967
63.480000000001645 9936524.41147744 -327724.87480101 442365.09343322
63.51000000000165 9939469.08039805 -326028.17860541 440610.13142614
63.54000000000165 9942275.45157676 -324431.73511394 438832.83886302
63.57000000000165 9944949.51982760 -322958.79479151 437034.29680642
63.60000000000165 9947494.66875052 -321631.18444121 435216.05063196
63.63000000000165 9949910.76137573 -320463.77637758 433379.92558607
63.66000000000165 9952193.64358119 -319466.72519886 431528.20080583
63.69000000000165 9954335.02134565 -318642.08721319 429663.27960209
63.720000000001654 9956322.94485618 -317982.38460879 427786.90909813
63.750000000001656 9958147.25950600 -317475.26780863 425900.02333829
63.78000000000166 9959805.93647429 -317108.70105131 424003.33087188
63.81000000000166 9961306.23397253 -316874.38671447 422097.06372934
63.84000000000166 9962664.21121669 -316769.15682596 420180.85141436
63.87000000000166 9963899.46995629 -316797.67205814 418253.50295292
63.90000000000166 9965028.78097527 -316971.40979711 416312.80947881
63.93000000000166 9966070.05566013 -317308.65270672 414355.70948306
63.96000000000166 9967047.34109721 -317833.53323811 412378.81104591
63.990000000001665 9967985.95628269 -318570.45927440 410379.20256178
64.02000000000166 9968905.51521922 -319538.97472118 408354.58212148
64.05000000000166 9969817.94422535 -320747.06336250 406303.05909692
64.08000000000166 9970724.54162699 -322186.43877881 404222.85131307
64.11000000000166 9971619.60332833 -323837.37726277 402112.16218304
64.14000000000166 9972497.77941242 -325676.20954076 399968.97599879
64.17000000000166 9973356.06003143 -327683.50478319 397792.10103742
64.20000000000167 9974201.91957714 -329844.88079950 395582.28613938
64.23000000000167 9975056.86423975 -332153.48472840 393342.72927308
64.26000000000167 9975954.36835355 -334608.75753117 391078.88236795
64.29000000000167 9976923.14276008 -337201.05386677 388796.85918866
64.32000000000167 9977981.96612654 -339909.65507752 386502.35794452
64.35000000000167 9979138.12675134 -342698.52635189 384199.77448110
64.38000000000167 9980387.57825174 -345519.88677839 381892.64549721
64.41000000000167 9981724.84594647 -348312.73262894 379583.60318042
64.44000000000167 9983146.60460486 -351024.73244826 377275.07399973
64.47000000000168 9984657.57530336 -353629.04848434 374970.40551448
64.50000000000168 9986270.38080673 -356122.98904637 372673.67966237
64.53000000000168 9988000.63563650 -358517.92387039 370388.90468443
64.56000000000168 9989861.19850929 -360833.95003320 368119.41422667
64.59000000000168 9991858.40457163 -363091.34359794 365868.12376148
64.62000000000168 9993985.90902658 -365300.40511375 363637.47987901
64.65000000000168 9996222.30317524 -367453.30740926 361428.65262192
64.68000000000168 9998538.33903727 -369526.71229735 359241.58019381
64.71000000000168 10000906.15896009 -371491.62987758 357075.60548416
64.74000000000169 10003307.23374719 -373320.14312940 354929.77616463
64.77000000000169 10005734.72608554 -374994.97361389 352803.13424275
64.80000000000169 10008193.71098085 -376516.12167982 350694.76451094
64.83000000000169 10010701.68729883 -377895.72261517 348604.00085994
64.86000000000169 10013274.68413201 -379150.28914804 346530.40790885
64.89000000000169 10015923.34923838 -380297.01762507 344474.49917634
